Territorialidades,Esperança de vida ao nascer 2024,Mortalidade infantil 2024,Média de anos de estudo 2024,Taxa de analfabetismo - 15 anos ou mais de idade 2024,Taxa de frequência líquida ao ensino médio 2024,% de 5 a 6 anos de idade na escola 2024,Renda per capita 2024,População total 2024,Subíndice de escolaridade - IDHM Educação 2024,Subíndice de frequência escolar - IDHM Educação 2024,IDHM Educação 2024,IDHM Longevidade 2024,IDHM Renda 2024,IDHM 2024
Brasil,"76,61","12,25","10,08","5,32","72,77","97,84","903,42",216995791,"0,714","0,844","0,798","0,86","0,76","0,805"
Acre,"75,86","17,07","9,3","9,21","65,95","93,06",563,925406,"0,672","0,777","0,74","0,848","0,684","0,754"
Alagoas,"74,39","13,58","8,4","13,93","66,23","97,56","588,82",3396725,"0,597","0,805","0,729","0,823","0,691","0,746"
Amapá,"74,32","19,2","10,36","5,43","62,63","83,01","674,74",914776,"0,754","0,741","0,745","0,822","0,713","0,759"
Amazonas,"75,48","16,56","10,18","5,18","65,97","94,99","550,19",4278008,"0,745","0,811","0,788","0,841","0,68","0,767"
Bahia,"75,81","14,28","8,87","9,86","68,62","98,13","600,1",15109674,"0,635","0,803","0,743","0,847","0,694","0,759"
Ceará,"77,26","11,39","8,66","11,72","79,23","98,54","540,67",9386923,"0,634","0,87","0,783","0,871","0,677","0,773"
Distrito Federal,"79,75","10,6","11,94","2,03","73,16","97,74","1465,1",3204070,"0,834","0,859","0,851","0,913","0,837","0,866"
Espírito Santo,"77,19","11,2","10,15","3,92","67,31","97,64","924,79",4231326,"0,709","0,825","0,784","0,87","0,763","0,804"
Goiás,"76,78",12,"10,42","3,82","77,74","94,95","920,7",7474195,"0,74","0,865","0,821","0,863","0,763","0,815"
Maranhão,"75,62","14,59","8,59","11,34","65,75","98,48","481,46",7227898,"0,631","0,811","0,746","0,844","0,658","0,745"
Mato Grosso do Sul,"75,39","13,42","10,25","3,87","69,64","95,73","941,36",2851133,"0,71","0,827","0,786","0,84","0,766","0,797"
Mato Grosso,"75,71","13,48","10,45","3,45","73,93","96,39","999,51",3627917,"0,751","0,851","0,816","0,845","0,776","0,812"
Minas Gerais,"77,51","10,97","9,81","4,2","80,14","99,76","874,39",21726479,"0,68","0,872","0,803","0,875","0,754","0,809"
Paraíba,"76,82",13,"8,55","12,4","66,14","99,39","609,05",4095537,"0,591","0,811","0,73","0,864","0,696","0,76"
Paraná,"76,85","10,5","10,23","3,18","73,56","98,23","1090,41",11810279,"0,719","0,867","0,815","0,864","0,79","0,822"
Pará,"76,26","14,58","9,25","6,54","63,61","98,41","592,77",8983582,"0,667","0,773","0,736","0,854","0,692","0,758"
Pernambuco,"75,52","12,69","9,17","10,39","71,1","98,8","631,16",9779628,"0,64","0,835","0,764","0,842","0,702","0,767"
Piauí,"76,96","14,58","8,52","13,97","70,2","99,69","603,17",3308547,"0,597","0,828","0,742","0,866","0,695","0,764"
Rio de Janeiro,"75,62","12,91","11,2","2,15","72,19","99,01","1082,84",17726709,"0,792","0,843","0,826","0,844","0,789","0,819"
Rio Grande do Norte,"77,83","10,88","9,16","10,65","70,17","96,81","704,2",3636783,"0,632","0,802","0,741","0,881","0,72","0,778"
Rio Grande do Sul,"77,16","9,45","10,47","2,26","73,09","97,53","1132,46",11563872,"0,721","0,828","0,791","0,869","0,796","0,818"
Rondônia,76,"12,12","9,14","5,51","78,28","95,64","769,89",1857774,"0,648","0,852","0,778","0,85","0,734","0,786"
Roraima,"74,35","21,82","10,82","3,96","66,99","95,84","676,77",620171,"0,798","0,816","0,81","0,823","0,713","0,78"
Santa Catarina,"78,27","8,69","10,57","2,07","72,27","97,12","1138,05",7571799,"0,757","0,849","0,817","0,888","0,797","0,833"
São Paulo,"77,02","11,02","10,95","2,33","76,59","97,59","1157,15",47649489,"0,785","0,885","0,85","0,867","0,799","0,838"
Sergipe,"76,36","18,24","8,92","10,58",70,"99,13","642,01",2394125,"0,611","0,799","0,731","0,856","0,705","0,761"
Tocantins,"76,68","12,47","9,82","7,74","72,48","96,06","771,42",1642966,"0,698","0,858","0,801","0,861","0,734","0,797"
